Dossiê;Oferta;Evento;Status;Inserido em;Atualizado em;Inseriu?;Atualizou?;Nem nem?;
16737;2359363;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
14222;2359390;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16692;2359388;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
13900;2359391;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16387;2359330;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16818;2359336;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
16935;2359315;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17122;2359332;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17459;2359355;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16597;2359341;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
9603;2359421;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
11858;2359349;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
16792;2359381;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
17204;2359340;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17185;2359299;;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:17:01.000-03:00;;;;
17074;2359313;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17043;2359323;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17226;2359316;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
14278;2359298;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17062;2359314;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16485;2359327;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17308;2359320;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17238;2359342;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17576;2359294;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
13800;2359321;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
13759;2359295;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
10669;2359297;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
12928;2359322;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:45.000-03:00;;;;
12692;2359344;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:45.000-03:00;;;;
17504;2359343;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17305;2359353;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17306;2359319;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17258;2359317;104390;Em processamento;2022-03-11T18:17:01.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17283;2359296;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17368;2359318;104390;Em processamento;2022-03-11T18:17:00.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
